idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,1,0,0,14.23,2,214.23,0,0,20
2,6,0,0,23.98,3,323.98,0,0,20
3,2,0,0,11.24,1,111.24,0,0,20
4,1,0,1,22.91,3,322.91,1,0,20
5,3,0,0,18.0,1,118.0,2,0,20
6,3,0,1,7.21,2,207.21,3,0,20
7,2,0,1,19.7,1,119.7,4,0,20
8,2,0,2,7.12,2,207.12,5,0,20
9,5,0,0,7.94,0,7.94,6,0,20
10,3,0,2,15.75,2,215.75,7,0,20
11,4,0,0,6.99,0,6.99,8,0,20
12,3,0,3,22.54,2,222.54,9,0,20
13,4,0,1,22.63,1,122.63,10,0,20
14,2,0,3,17.65,2,217.65,11,0,20
15,3,0,4,7.81,3,307.81,12,0,20
16,5,0,1,13.5,1,113.5,13,0,20
17,4,0,2,22.73,1,122.73,14,0,20
18,4,0,3,15.17,2,215.17,15,0,20
19,4,0,4,6.95,3,306.95,16,0,20
20,5,0,2,14.28,2,214.28,17,0,20
