idx,seq,priority,weight,size(ft)
8,1,0.9,11.06,20
9,2,1.0,7.24,20
10,3,2.7,7.93,20
11,4,1.6,12.21,20
12,5,1.7000000000000002,16.72,20
13,6,2.4000000000000004,6.51,20
14,7,1.2000000000000002,22.16,20
15,8,0.5,15.22,20
16,9,2.0,7.4,20
17,10,0.7000000000000001,21.51,20
18,11,0.30000000000000004,22.68,20
19,12,2.3000000000000003,3.36,20
20,13,1.8,20.97,20
21,14,1.5,7.87,20
22,15,1.4000000000000001,23.22,20
23,16,0.1,21.45,20
24,17,2.1,22.82,20
25,18,2.6,16.94,20
26,19,0.2,18.72,20
27,20,0.0,13.53,20
