idx,seq,priority,weight,size(ft)
8,1,1.5,8.63,20
9,2,1.0,20.58,20
10,3,1.9000000000000001,20.51,20
11,4,0.30000000000000004,20.54,20
12,5,0.1,10.26,20
13,6,2.1,12.12,20
14,7,1.1,16.21,20
15,8,1.6,23.19,20
16,9,0.2,11.16,20
17,10,0.8,14.6,20
18,11,2.3000000000000003,17.48,20
19,12,0.7000000000000001,3.49,20
20,13,1.7000000000000002,20.9,20
21,14,2.2,16.28,20
22,15,1.8,10.76,20
23,16,0.5,9.03,20
24,17,2.4000000000000004,5.37,20
25,18,1.4000000000000001,21.88,20
26,19,2.6,23.92,20
27,20,0.0,3.11,20
