idx,seq,priority,weight,size(ft)
8,1,1.2000000000000002,20.36,20
9,2,2.1,23.39,20
10,3,1.9000000000000001,9.96,20
11,4,1.8,22.5,20
12,5,1.7000000000000002,15.16,20
13,6,1.5,8.42,20
14,7,2.2,15.11,20
15,8,0.0,23.96,20
16,9,0.5,19.76,20
17,10,2.3000000000000003,13.7,20
18,11,0.9,11.96,20
19,12,1.3,17.62,20
20,13,0.6000000000000001,4.35,20
21,14,0.30000000000000004,21.21,20
22,15,0.2,7.71,20
23,16,1.1,15.52,20
24,17,1.6,14.61,20
25,18,1.4000000000000001,7.15,20
26,19,1.0,17.06,20
27,20,0.0,20.07,20
