idx,seq,priority,weight,size(ft)
8,1,0.1,23.82,20
9,2,1.0,5.8,20
10,3,2.1,18.69,20
11,4,1.3,11.89,20
12,5,0.6000000000000001,19.32,20
13,6,0.8,16.87,20
14,7,0.30000000000000004,16.39,20
15,8,1.1,22.54,20
16,9,1.9000000000000001,4.26,20
17,10,2.5,13.12,20
18,11,1.5,11.7,20
19,12,0.0,12.05,20
20,13,1.4000000000000001,4.3,20
21,14,1.7000000000000002,11.33,20
22,15,0.0,20.13,20
23,16,2.4000000000000004,5.47,20
24,17,2.0,19.04,20
25,18,1.6,12.14,20
26,19,2.3000000000000003,3.44,20
27,20,0.2,16.71,20
