idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,3,0,0,15.44,0,15.44,1,0,1.0,20
2,3,0,1,14.12,0,14.12,2,0,1.0,20
3,3,0,2,23.6,0,23.6,3,0,1.0,20
4,5,0,0,23.79,0,23.79,4,0,1.0,20
5,4,0,0,18.5,0,18.5,5,0,1.0,20
6,4,0,1,18.98,0,18.98,6,0,1.0,20
7,3,0,3,14.13,0,14.13,7,0,1.0000000000000568,20
8,3,0,4,19.56,0,19.56,8,0,1.0000000000001692,20
9,4,0,2,22.99,0,22.99,9,0,1.0,20
10,2,0,0,9.13,0,9.13,10,0,1.0,20
11,1,0,0,5.38,0,5.38,11,0,0,20
12,3,0,5,21.14,0,21.14,12,0,0.9999999999998308,20
13,2,0,1,9.71,0,9.71,13,0,1.0,20
14,4,0,3,12.97,0,12.97,14,0,1.0,20
15,1,0,1,6.73,0,6.73,15,0,0,20
16,2,0,2,8.8,0,8.8,16,0,1.0,20
17,1,0,2,8.08,0,8.08,17,0,0,20
18,1,0,3,9.76,0,9.76,18,0,0,20
19,5,0,1,18.32,0,18.32,19,0,1.0,20
20,2,0,3,13.14,0,13.14,20,0,1.0,20
