idx,seq,group,emerg,weight,size(ft)
1,1,0,0,14.93,20
2,2,0,0,5.92,20
3,3,0,0,6.97,20
4,4,0,0,13.56,20
5,5,0,0,23.11,20
6,6,0,0,14.41,20
7,7,0,0,5.51,20
8,8,0,0,21.97,20
9,9,0,0,12.06,20
10,10,0,0,21.99,20
11,11,0,0,16.97,20
12,12,0,0,5.02,20
13,13,0,0,8.98,20
14,14,0,0,13.46,20
15,15,0,0,9.71,20
16,16,0,0,11.01,20
17,17,0,0,8.2,20
18,18,0,0,23.75,20
19,19,0,0,16.49,20
20,20,0,0,15.06,20
21,21,0,0,12.03,20
22,22,0,0,23.83,20
23,23,0,0,11.95,20
24,24,0,0,9.38,20
25,25,0,0,9.24,20
26,26,0,0,14.19,20
27,27,0,0,15.75,20
