idx,seq,group,emerg,weight,size(ft)
1,1,0,0,11.75,20
2,2,0,0,7.07,20
3,3,0,0,5.38,20
4,4,0,0,23.42,20
5,5,0,0,11.88,20
6,6,0,0,16.52,20
7,7,0,0,18.94,20
8,8,0,0,7.53,20
9,9,0,0,17.02,20
10,10,0,0,17.03,20
11,11,0,0,21.3,20
12,12,0,0,10.41,20
13,13,0,0,5.01,20
14,14,0,0,13.64,20
15,15,0,0,9.04,20
16,16,0,0,19.24,20
17,17,0,0,16.05,20
18,18,0,0,18.68,20
19,19,0,0,14.15,20
20,20,0,0,15.87,20
21,21,0,0,11.0,20
22,22,0,0,8.82,20
23,23,0,0,7.47,20
24,24,0,0,18.18,20
25,25,0,0,11.28,20
26,26,0,0,10.59,20
27,27,0,0,21.44,20
