idx,seq,group,emerg,weight,size(ft)
1,1,0,0,17.26,20
2,2,0,0,19.24,20
3,3,0,0,14.25,20
4,4,0,0,13.95,20
5,5,0,0,14.56,20
6,6,0,0,22.91,20
7,7,0,0,23.73,20
8,8,0,0,12.79,20
9,9,0,0,14.45,20
10,10,0,0,5.99,20
11,11,0,0,21.96,20
12,12,0,0,20.55,20
13,13,0,0,12.71,20
14,14,0,0,19.78,20
15,15,0,0,9.58,20
16,16,0,0,18.43,20
17,17,0,0,10.12,20
18,18,0,0,9.5,20
19,19,0,0,16.19,20
20,20,0,0,5.02,20
21,21,0,0,14.69,20
22,22,0,0,23.29,20
23,23,0,0,22.44,20
24,24,0,0,18.22,20
25,25,0,0,19.9,20
26,26,0,0,9.64,20
27,27,0,0,9.74,20
