idx,seq,group,emerg,weight,size(ft)
1,1,0,0,19.23,20
2,2,0,0,23.33,20
3,3,0,0,17.2,20
4,4,0,0,19.83,20
5,5,0,0,19.46,20
6,6,0,0,18.67,20
7,7,0,0,20.41,20
8,8,0,0,18.05,20
9,9,0,0,22.87,20
10,10,0,0,12.13,20
11,11,0,0,10.58,20
12,12,0,0,11.08,20
13,13,0,0,19.24,20
14,14,0,0,13.91,20
15,15,0,0,12.55,20
16,16,0,0,17.93,20
17,17,0,0,20.3,20
18,18,0,0,23.97,20
19,19,0,0,9.85,20
20,20,0,0,12.08,20
21,21,0,0,5.33,20
22,22,0,0,12.62,20
23,23,0,0,19.03,20
24,24,0,0,21.81,20
25,25,0,0,18.6,20
26,26,0,0,22.7,20
27,27,0,0,20.72,20
