idx,seq,group,emerg,weight,size(ft)
1,1,0,0,18.47,20
2,2,0,0,20.45,20
3,3,0,0,8.3,20
4,4,0,0,12.58,20
5,5,0,0,9.01,20
6,6,0,0,6.03,20
7,7,0,0,16.48,20
8,8,0,0,8.42,20
9,9,0,0,13.94,20
10,10,0,0,12.71,20
11,11,0,0,12.41,20
12,12,0,0,21.14,20
13,13,0,0,8.61,20
14,14,0,0,8.45,20
15,15,0,0,17.17,20
16,16,0,0,21.11,20
17,17,0,0,9.29,20
18,18,0,0,6.55,20
19,19,0,0,7.37,20
20,20,0,0,8.91,20
21,21,0,0,21.92,20
22,22,0,0,17.19,20
23,23,0,0,21.9,20
24,24,0,0,15.95,20
25,25,0,0,7.08,20
26,26,0,0,10.33,20
27,27,0,0,15.54,20
