idx,seq,group,emerg,weight,size(ft)
1,1,0,0,11.49,20
2,2,0,0,19.92,20
3,3,0,0,23.24,20
4,4,0,0,9.07,20
5,5,0,0,5.63,20
6,6,0,0,22.0,20
7,7,0,0,21.99,20
8,8,0,0,22.59,20
9,9,0,0,13.15,20
10,10,0,0,20.27,20
11,11,0,0,11.96,20
12,12,0,0,6.6,20
13,13,0,0,10.14,20
14,14,0,0,14.85,20
15,15,0,0,21.8,20
16,16,0,0,16.06,20
17,17,0,0,23.49,20
18,18,0,0,17.24,20
19,19,0,0,23.82,20
20,20,0,0,12.86,20
21,21,0,0,12.45,20
22,22,0,0,18.98,20
23,23,0,0,8.16,20
24,24,0,0,23.36,20
25,25,0,0,9.36,20
26,26,0,0,10.09,20
27,27,0,0,22.21,20
