idx,seq,group,emerg,weight,size(ft)
1,1,0,0,18.43,20
2,2,0,0,11.34,20
3,3,0,0,15.42,20
4,4,0,0,12.61,20
5,5,0,0,13.34,20
6,6,0,0,5.47,20
7,7,0,0,20.47,20
8,8,0,0,6.89,20
9,9,0,0,16.74,20
10,10,0,0,10.18,20
11,11,0,0,21.54,20
12,12,0,0,9.08,20
13,13,0,0,17.15,20
14,14,0,0,22.86,20
15,15,0,0,16.77,20
16,16,0,0,8.75,20
17,17,0,0,19.78,20
18,18,0,0,14.44,20
19,19,0,0,21.83,20
20,20,0,0,21.48,20
21,21,0,0,7.62,20
22,22,0,0,16.14,20
23,23,0,0,7.72,20
24,24,0,0,9.93,20
25,25,0,0,6.16,20
26,26,0,0,17.61,20
27,27,0,0,15.03,20
