idx,seq,group,emerg,weight,size(ft)
1,1,0,0,6.86,20
2,2,0,0,13.47,20
3,3,0,0,14.66,20
4,4,0,0,12.21,20
5,5,0,0,17.45,20
6,6,0,0,20.9,20
7,7,0,0,22.72,20
8,8,0,0,12.87,20
9,9,0,0,12.53,20
10,10,0,0,15.63,20
11,11,0,0,17.26,20
12,12,0,0,9.89,20
13,13,0,0,18.8,20
14,14,0,0,15.12,20
15,15,0,0,14.12,20
16,16,0,0,6.9,20
17,17,0,0,11.74,20
18,18,0,0,10.96,20
19,19,0,0,20.71,20
20,20,0,0,7.14,20
21,21,0,0,21.21,20
22,22,0,0,5.08,20
23,23,0,0,21.33,20
24,24,0,0,18.0,20
25,25,0,0,19.57,20
26,26,0,0,11.85,20
27,27,0,0,20.98,20
