idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,3,0,4,14.28,1,0,0,20
2,1,0,3,7.32,2,0,0,20
3,2,0,2,10.14,3,0,0,20
4,2,0,3,10.58,4,0,0,20
5,5,0,3,20.83,5,0,0,20
6,6,0,1,22.48,6,0,0,20
7,4,0,0,14.19,7,0,0,20
8,1,0,2,6.52,8,0,0,20
9,3,0,0,5.38,9,0,0,20
10,5,0,1,17.38,10,0,0,20
11,3,0,2,9.6,11,0,0,20
12,2,0,0,5.81,12,0,0,20
13,2,0,1,6.38,13,0,0,20
14,4,0,3,19.62,14,0,0,20
15,4,0,2,17.39,15,0,0,20
16,4,0,1,17.13,16,0,0,20
17,6,0,0,20.9,17,0,0,20
18,5,0,0,12.99,18,0,0,20
19,1,0,1,6.31,19,0,0,20
20,3,0,3,14.25,20,0,0,20
21,5,0,2,18.75,21,0,0,20
22,1,0,0,5.62,22,0,0,20
23,2,0,4,11.9,23,0,0,20
24,3,0,1,8.41,24,0,0,20
25,4,0,4,23.05,25,0,0,20
