idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,6,0,1,23.17,1,0,0,20
2,2,0,4,16.27,2,0,0,20
3,2,0,3,12.31,3,0,0,20
4,3,0,4,15.01,4,0,0,20
5,4,0,0,13.24,5,0,0,20
6,1,0,1,8.75,6,0,0,20
7,3,0,2,11.14,7,0,0,20
8,3,0,0,8.31,8,0,0,20
9,1,0,3,11.51,9,0,0,20
10,5,0,2,23.74,10,0,0,20
11,5,0,1,17.74,11,0,0,20
12,3,0,3,11.93,12,0,0,20
13,2,0,2,11.74,13,0,0,20
14,2,0,1,9.99,14,0,0,20
15,2,0,0,8.33,15,0,0,20
16,4,0,1,14.54,16,0,0,20
17,6,0,2,23.6,17,0,0,20
18,6,0,0,19.21,18,0,0,20
19,1,0,2,10.71,19,0,0,20
20,5,0,0,13.78,20,0,0,20
21,1,0,0,5.73,21,0,0,20
22,3,0,1,11.13,22,0,0,20
23,4,0,4,23.9,23,0,0,20
24,4,0,2,19.55,24,0,0,20
25,4,0,3,20.7,25,0,0,20
