idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,1,0,0,17.82,2,217.82,0,1.0,20
2,6,0,0,23.94,0,23.94,0,0,20
3,2,0,0,21.12,0,21.12,0,1.0,20
4,4,0,0,22.8,2,222.8,1,1.0,20
5,4,0,1,17.0,3,317.0,2,1.0,20
6,5,0,0,22.01,3,322.01,3,1.0,20
7,5,0,1,10.51,3,310.51,4,1.0,20
8,4,0,2,21.1,2,221.1,5,1.0,20
9,2,0,1,16.03,0,16.03,6,1.0,20
10,3,0,0,10.75,1,110.75,7,0,20
11,2,0,2,10.46,1,110.46000000000001,8,1.0,20
12,1,0,1,22.22,1,122.22,9,1.0,20
13,3,0,1,17.37,1,117.37,10,1.0,20
14,4,0,3,21.05,3,321.05,11,1.0,20
15,3,0,2,12.45,1,112.45,12,1.0,20
16,3,0,3,6.32,2,206.32,13,1.0,20
17,2,0,3,16.98,0,16.98,14,1.0,20
18,1,0,2,23.06,1,123.06,15,1.0,20
19,3,0,4,16.63,1,116.63,16,1.0,20
20,2,0,4,13.31,0,13.31,17,1.0,20
