idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,5,0,0,8.74,1,108.74,1,0,20
2,5,0,1,8.81,3,308.81,2,1.0,20
3,3,0,0,21.23,1,121.23,3,1.0,20
4,5,0,2,21.72,2,221.72,4,1.0,20
5,5,0,3,16.52,3,316.52,5,1.0,20
6,5,0,4,17.5,3,317.5,6,1.0,20
7,3,0,1,12.07,1,112.07,7,1.0,20
8,4,0,0,10.68,0,10.68,8,0,20
9,6,0,0,22.13,2,222.13,9,0,20
10,3,0,2,12.71,1,112.71000000000001,10,1.0,20
11,2,0,0,21.37,0,21.37,11,1.0,20
12,3,0,3,6.22,1,106.22,12,1.0,20
13,6,0,1,14.11,3,314.11,13,1.0,20
14,2,0,1,11.78,0,11.78,14,1.0,20
15,4,0,1,7.92,2,207.92,15,1.0,20
16,6,0,2,23.32,2,223.32,16,1.0,20
17,2,0,2,13.2,1,113.2,17,1.0,20
18,2,0,3,19.15,1,119.15,18,1.0,20
19,1,0,0,16.36,0,16.36,19,1.0,20
20,4,0,2,17.08,1,117.08,20,1.0,20
21,1,0,1,14.82,0,14.82,21,1.0,20
22,1,0,2,18.92,1,118.92,22,1.0,20
23,4,0,3,14.86,2,214.86,23,1.0,20
24,1,0,3,21.91,0,21.91,24,1.0,20
25,3,0,4,9.64,1,109.64,25,1.0,20
