idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,2,0,2,12.42,1,0,1.0,20
2,3,0,2,13.16,2,0,1.0,20
3,4,0,0,13.46,3,0,1.0,20
4,2,0,4,15.52,4,0,1.0,20
5,6,0,0,20.73,5,0,1.0,20
6,1,0,0,8.82,6,0,0,20
7,4,0,4,23.41,7,0,1.0,20
8,4,0,3,18.74,8,0,1.0,20
9,5,0,0,18.76,9,0,1.0,20
10,3,0,3,11.78,10,0,1.0,20
11,6,0,2,22.87,11,0,1.0,20
12,3,0,0,7.15,12,0,0,20
13,2,0,3,12.69,13,0,1.0,20
14,5,0,2,23.1,14,0,1.0,20
15,5,0,3,21.66,15,0,1.0,20
16,1,0,3,10.25,16,0,1.0,20
17,6,0,1,21.66,17,0,1.0,20
18,5,0,1,14.16,18,0,1.0,20
19,1,0,2,10.99,19,0,1.0,20
20,2,0,0,9.04,20,0,0,20
21,3,0,1,12.52,21,0,1.0,20
22,1,0,1,10.56,22,0,1.0,20
23,4,0,1,13.48,23,0,1.0,20
24,2,0,1,9.2,24,0,0,20
25,4,0,2,18.2,25,0,1.0,20
