idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,3,0,2,14.28,1,0,1.0,20
2,2,0,1,7.32,2,0,1.0,20
3,2,0,3,10.14,3,0,1.0,20
4,3,0,3,10.58,4,0,1.0,20
5,5,0,3,20.83,5,0,1.0,20
6,6,0,1,22.48,6,0,1.0,20
7,4,0,1,14.19,7,0,1.0,20
8,1,0,3,6.52,8,0,1.0,20
9,1,0,1,5.38,9,0,1.0,20
10,4,0,2,17.38,10,0,1.0,20
11,3,0,0,9.6,11,0,1.0,20
12,2,0,2,5.81,12,0,1.0,20
13,2,0,0,6.38,13,0,1.0,20
14,5,0,1,19.62,14,0,1.0,20
15,4,0,3,17.39,15,0,1.0,20
16,4,0,0,17.13,16,0,1.0,20
17,6,0,0,20.9,17,0,1.0,20
18,5,0,0,12.99,18,0,0,20
19,1,0,2,6.31,19,0,1.0,20
20,6,0,2,14.25,20,0,1.0,20
21,5,0,2,18.75,21,0,1.0,20
22,1,0,0,5.62,22,0,1.0,20
23,2,0,4,11.9,23,0,1.0,20
24,3,0,1,8.41,24,0,1.0,20
25,4,0,4,23.05,25,0,1.0,20
