idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,6,0,0,17.65,0,17.65,1,0,20
2,5,0,0,11.56,0,11.56,2,0,20
3,2,0,0,7.83,0,7.83,3,0,20
4,3,0,0,7.74,0,7.74,4,0,20
5,6,0,1,20.44,0,20.44,5,0,20
6,4,0,0,5.66,0,5.66,6,0,20
7,5,0,1,19.44,0,19.44,7,0,20
8,4,0,1,15.73,0,15.73,8,0,20
9,4,0,2,18.25,0,18.25,9,0,20
10,2,0,1,9.18,0,9.18,10,0,20
11,3,0,1,10.86,0,10.86,11,0,20
12,6,0,2,20.87,0,20.87,12,0,20
13,3,0,2,12.16,0,12.16,13,0,20
14,2,0,2,10.73,0,10.73,14,0,20
15,3,0,3,14.93,0,14.93,15,0,20
16,2,0,3,12.59,0,12.59,16,0,20
17,5,0,2,20.27,0,20.27,17,0,20
18,1,0,0,8.38,0,8.38,18,1.0,20
19,1,0,1,5.59,0,5.59,19,1.0,20
20,1,0,2,5.24,0,5.24,20,1.0,20
21,2,0,4,12.91,0,12.91,21,0,20
22,4,0,3,23.99,0,23.99,22,0,20
23,5,0,3,22.58,0,22.58,23,0,20
