idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,3,0,0,22.72,2,222.72,0,0,20
2,5,0,0,22.03,0,22.03,0,0,20
3,5,0,1,23.72,3,323.72,0,0,20
4,2,0,0,12.53,0,12.53,1,0,20
5,2,0,1,5.3,2,205.3,2,0,20
6,4,0,0,17.58,1,117.58,3,0,20
7,1,0,0,8.44,0,8.44,4,0,20
8,2,0,2,14.2,2,214.2,5,0,20
9,1,0,1,10.7,1,110.7,6,1.0,20
10,4,0,1,17.91,1,117.91,7,0,20
11,1,0,2,7.26,1,107.26,8,1.0,20
12,3,0,1,20.49,3,320.49,9,0,20
13,4,0,2,18.75,1,118.75,10,0,20
14,1,0,3,18.25,0,18.25,11,1.0,20
15,6,0,0,7.4,0,7.4,12,0,20
