idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,0,23.59,0,23.59,0,0,20
2,5,0,0,20.38,2,220.38,0,0,20
3,3,0,0,14.52,2,214.52,0,1.0,20
4,2,0,0,17.08,1,117.08,0,0,20
5,3,0,1,16.05,1,116.05,0,1.0,20
6,4,0,1,14.51,1,114.51,1,0,20
7,4,0,2,9.17,3,309.17,2,0,20
8,4,0,3,12.05,3,312.05,3,0,20
9,2,0,1,19.42,2,219.42000000000002,4,0,20
10,2,0,2,14.4,3,314.4,5,0,20
11,5,0,1,18.02,3,318.02,6,0,20
12,1,0,0,16.33,0,16.33,7,0,20
13,1,0,1,5.49,1,105.49,8,0,20
14,1,0,2,19.12,1,119.12,9,0,20
15,1,0,3,13.3,2,213.3,10,0,20
