idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,6,0,0,18.35,2,218.35,0,0,20
2,2,0,0,5.77,1,105.77,0,0,20
3,2,0,1,14.22,3,314.22,0,0,20
4,5,0,0,18.88,3,318.88,0,0,20
5,4,0,0,12.09,0,12.09,0,0,20
6,3,0,0,5.95,0,5.95,1,0,20
7,6,0,1,11.02,3,311.02,2,0,20
8,3,0,1,21.61,1,121.61,3,0,20
9,3,0,2,10.59,2,210.59,4,0,20
10,4,0,1,14.25,1,114.25,5,0,20
11,1,0,0,22.48,0,22.48,6,1.0,20
12,1,0,1,20.51,0,20.51,7,1.0,20
13,1,0,2,18.42,0,18.42,8,1.0,20
14,4,0,2,13.97,3,313.97,9,0,20
15,3,0,3,5.62,3,305.62,10,0,20
