idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,2,0,0,8.69,0,8.69,1,0,1.0,20
2,4,0,0,14.9,0,14.9,2,0,1.0,20
3,2,0,1,5.94,0,5.94,3,0,1.0,20
4,5,0,0,18.83,0,18.83,4,0,1.0,20
5,5,0,1,23.16,0,23.16,5,0,1.0,20
6,3,0,0,13.78,0,13.78,6,0,1.0,20
7,4,0,1,15.98,0,15.98,7,0,1.0,20
8,5,0,2,17.86,0,17.86,8,0,1.0,20
9,2,0,2,11.33,0,11.33,9,0,1.0,20
10,5,0,3,23.48,0,23.48,10,0,1.0,20
11,2,0,3,10.44,0,10.44,11,0,1.0,20
12,2,0,4,10.94,0,10.94,12,0,1.0,20
13,7,0,0,22.7,0,22.7,13,0,0,20
14,3,0,1,6.82,0,6.82,14,0,1.0,20
15,3,0,2,11.37,0,11.37,15,0,1.0,20
16,4,0,2,17.16,0,17.16,16,0,1.0,20
17,3,0,3,14.08,0,14.08,17,0,1.0,20
18,2,0,5,10.25,0,10.25,18,0,1.0,20
19,3,0,4,14.66,0,14.66,19,0,1.0,20
20,5,0,4,21.54,0,21.54,20,0,1.0,20
21,6,0,0,9.74,0,9.74,21,0,0,20
22,1,0,0,6.65,0,6.65,22,0,1.0,20
23,6,0,1,21.98,0,21.98,23,0,0,20
24,4,0,3,18.18,0,18.18,24,0,1.0,20
25,1,0,1,6.99,0,6.99,25,0,1.0,20
26,3,0,5,13.22,0,13.22,26,0,1.0,20
27,1,0,2,6.47,0,6.47,27,0,1.0,20
28,1,0,3,9.65,0,9.65,28,0,1.0,20
29,6,0,2,22.14,0,22.14,29,0,0,20
30,4,0,4,18.21,0,18.21,30,0,1.0,20
