idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,4,0,0,20.05,0,20.05,1,0,1.0,20
2,2,0,0,5.52,0,5.52,2,0,0,20
3,3,0,0,8.15,0,8.15,3,0,1.0,20
4,5,0,0,16.82,0,16.82,4,0,1.0,20
5,2,0,1,5.72,0,5.72,5,0,0,20
6,2,0,2,6.26,0,6.26,6,0,0,20
7,2,0,3,14.0,0,14.0,7,0,1.0,20
8,4,0,1,18.88,0,18.88,8,0,1.0,20
9,1,0,0,6.66,0,6.66,9,0,1.0,20
10,5,0,1,22.37,0,22.37,10,0,1.0,20
11,4,0,2,13.07,0,13.07,11,0,1.0,20
12,1,0,1,5.19,0,5.19,12,0,1.0,20
13,5,0,2,13.41,0,13.41,13,0,1.0,20
14,1,0,2,6.77,0,6.77,14,0,1.0,20
15,5,0,3,20.43,0,20.43,15,0,1.0,20
16,2,0,4,14.93,0,14.93,16,0,1.0,20
17,4,0,3,18.33,0,18.33,17,0,1.0,20
18,2,0,5,11.36,0,11.36,18,0,1.0,20
19,3,0,1,8.0,0,8.0,19,0,1.0,20
20,1,0,3,7.18,0,7.18,20,0,1.0,20
21,4,0,4,18.92,0,18.92,21,0,1.0,20
22,6,0,0,16.87,0,16.87,22,0,0,20
23,5,0,4,22.0,0,22.0,23,0,1.0,20
24,7,0,0,13.36,0,13.36,24,0,0,20
25,6,0,1,17.62,0,17.62,25,0,0,20
26,3,0,2,8.32,0,8.32,26,0,1.0,20
27,3,0,3,10.34,0,10.34,27,0,1.0,20
28,4,0,5,19.21,0,19.21,28,0,1.0,20
29,6,0,2,21.98,0,21.98,29,0,0,20
30,3,0,4,7.56,0,7.56,30,0,1.0,20
