idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,1,0,0,13.41,1,113.41,1,0,20
2,1,0,1,11.27,3,311.27,2,0,20
3,5,0,0,19.61,2,219.61,3,1.0,20
4,5,0,1,18.4,2,218.4,4,1.0,20
5,5,0,2,21.43,1,121.43,5,1.0,20
6,2,0,0,6.46,0,6.46,6,0,20
7,4,0,0,19.53,1,119.53,7,0,20
8,1,0,2,13.91,3,313.91,8,0,20
9,1,0,3,21.21,3,321.21,9,0,20
10,6,0,0,11.55,0,11.55,10,0,20
11,6,0,1,9.34,1,109.34,11,0,20
12,3,0,0,8.35,0,8.35,12,0,20
13,2,0,1,6.61,0,6.61,13,0,20
14,6,0,2,18.25,1,118.25,14,0,20
15,3,0,1,7.14,1,107.14,15,0,20
16,3,0,2,9.52,1,109.52,16,0,20
17,4,0,1,12.38,2,212.38,17,0,20
18,3,0,3,14.76,1,114.76,18,0,20
19,4,0,2,19.84,2,219.84,19,0,20
20,4,0,3,23.31,2,223.31,20,0,20
21,4,0,4,15.07,3,315.07,21,0,20
22,3,0,4,17.78,1,117.78,22,0,20
23,2,0,2,7.68,0,7.68,23,0,20
24,2,0,3,11.6,2,211.6,24,0,20
25,6,0,3,11.07,2,211.07,25,0,20
