idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,5,0,0,7.21,1,107.21,1,7.105427357601002e-13,20
2,4,0,0,11.86,3,311.86,2,1.0,20
3,6,0,0,23.74,0,23.74,3,0,20
4,4,0,1,7.51,3,307.51,4,1.0,20
5,1,0,0,15.74,0,15.74,5,0,20
6,4,0,2,12.37,3,312.37,6,1.0,20
7,6,0,1,8.93,1,108.93,7,0,20
8,6,0,2,19.59,1,119.59,8,0,20
9,5,0,1,19.22,1,119.22,9,0,20
10,5,0,2,5.14,3,305.14,10,0,20
11,1,0,1,22.98,0,22.98,11,0,20
12,1,0,2,18.57,1,118.57,12,0,20
13,4,0,3,18.34,3,318.34,13,1.0,20
14,5,0,3,5.64,3,305.64,14,0,20
15,1,0,3,14.58,2,214.58,15,0,20
16,2,0,0,20.34,0,20.34,16,0,20
17,2,0,1,6.72,2,206.72,17,0,20
18,1,0,4,17.08,3,317.08,18,0,20
19,6,0,3,21.69,1,121.69,19,0,20
20,2,0,2,5.97,3,305.97,20,0,20
21,3,0,0,13.54,0,13.54,21,0,20
22,3,0,1,19.45,0,19.45,22,0,20
23,3,0,2,9.47,1,109.47,23,0,20
24,3,0,3,13.99,2,213.99,24,0,20
25,6,0,4,20.78,3,320.78,25,0,20
