idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,5,0,0,22.48,0,22.48,1,0,0,20
2,1,0,0,8.8,0,8.8,2,0,0,20
3,4,0,0,15.17,0,15.17,3,0,0,20
4,4,0,1,17.08,0,17.08,4,0,0,20
5,4,0,2,17.81,0,17.81,5,0,0,20
6,5,0,1,23.88,0,23.88,6,0,0,20
7,3,0,0,13.97,0,13.97,7,0,0,20
8,3,0,1,17.34,0,17.34,8,0,0,20
9,2,0,0,9.67,0,9.67,9,0,0,20
10,3,0,2,21.34,0,21.34,10,0,1.0,20
11,3,0,3,20.89,0,20.89,11,0,1.0,20
12,4,0,3,22.88,0,22.88,12,0,0,20
13,3,0,4,20.01,0,20.01,13,0,1.0,20
14,2,0,1,11.93,0,11.93,14,0,0,20
15,2,0,2,13.61,0,13.61,15,0,0,20
16,1,0,1,11.18,0,11.18,16,0,0,20
17,1,0,2,13.04,0,13.04,17,0,0,20
18,6,0,0,5.12,0,5.12,18,0,0,20
19,2,0,3,20.81,0,20.81,19,0,0,20
20,6,0,1,15.27,0,15.27,20,0,0,20
