idx,seq,group,emerg,weight,size(ft)
1,1,0,0,10.22,20
2,2,0,0,17.86,20
3,3,0,0,16.82,20
4,4,0,0,17.2,20
5,5,0,0,22.2,20
6,6,0,0,20.89,20
7,7,0,0,10.84,20
8,8,0,0,13.61,20
9,9,0,0,14.22,20
10,10,0,0,20.05,20
11,11,0,0,10.33,20
12,12,0,0,15.92,20
13,13,0,0,8.76,20
14,14,0,0,22.74,20
15,15,0,0,10.33,20
16,16,0,0,19.44,20
17,17,0,0,22.53,20
18,18,0,0,7.8,20
19,19,0,0,22.52,20
20,20,0,0,15.04,20
21,21,0,0,23.25,20
22,22,0,0,15.42,20
23,23,0,0,22.19,20
24,24,0,0,11.79,20
25,25,0,0,11.57,20
