idx,seq,group,emerg,weight,size(ft)
1,1,0,0,11.25,20
2,2,0,0,19.96,20
3,3,0,0,13.63,20
4,4,0,0,5.99,20
5,5,0,0,18.01,20
6,6,0,0,20.32,20
7,7,0,0,6.89,20
8,8,0,0,18.63,20
9,9,0,0,20.7,20
10,10,0,0,17.06,20
11,11,0,0,10.66,20
12,12,0,0,9.11,20
13,13,0,0,20.88,20
14,14,0,0,9.9,20
15,15,0,0,6.57,20
16,16,0,0,20.48,20
17,17,0,0,14.89,20
18,18,0,0,12.12,20
19,19,0,0,20.58,20
20,20,0,0,16.53,20
21,21,0,0,11.57,20
22,22,0,0,18.68,20
23,23,0,0,13.34,20
24,24,0,0,8.92,20
25,25,0,0,18.14,20
