idx,seq,group,emerg,weight,size(ft)
1,1,0,0,6.97,20
2,2,0,0,8.51,20
3,3,0,0,19.07,20
4,4,0,0,21.75,20
5,5,0,0,11.67,20
6,6,0,0,23.77,20
7,7,0,0,7.33,20
8,8,0,0,16.71,20
9,9,0,0,16.89,20
10,10,0,0,8.63,20
11,11,0,0,15.23,20
12,12,0,0,21.73,20
13,13,0,0,15.85,20
14,14,0,0,11.82,20
15,15,0,0,14.63,20
16,16,0,0,15.42,20
17,17,0,0,6.29,20
18,18,0,0,18.49,20
19,19,0,0,19.55,20
20,20,0,0,10.15,20
21,21,0,0,20.23,20
22,22,0,0,20.42,20
23,23,0,0,23.47,20
24,24,0,0,21.06,20
25,25,0,0,22.66,20
