idx,seq,group,emerg,weight,size(ft)
1,1,0,0,8.33,20
2,2,0,0,13.21,20
3,3,0,0,10.72,20
4,4,0,0,17.54,20
5,5,0,0,9.51,20
6,6,0,0,22.03,20
7,7,0,0,17.21,20
8,8,0,0,17.38,20
9,9,0,0,18.45,20
10,10,0,0,12.44,20
11,11,0,0,7.62,20
12,12,0,0,13.66,20
13,13,0,0,19.14,20
14,14,0,0,18.67,20
15,15,0,0,21.27,20
16,16,0,0,16.28,20
17,17,0,0,11.57,20
18,18,0,0,8.04,20
19,19,0,0,18.68,20
20,20,0,0,22.48,20
21,21,0,0,7.58,20
22,22,0,0,12.47,20
23,23,0,0,9.61,20
24,24,0,0,17.29,20
25,25,0,0,15.78,20
