idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,6,0,0,15.52,0,0,0,20
2,2,0,0,23.54,0,0,1.55013190799847e-06,20
3,1,0,0,14.95,0,0,3.701817937185048e-07,20
4,6,0,1,17.58,1,0,0,20
5,3,0,0,7.74,2,0,0,20
6,1,0,1,20.72,3,0,0,20
7,4,0,0,7.32,4,0,0,20
8,3,0,1,8.63,5,0,0,20
9,4,0,1,9.12,6,0,0,20
10,4,0,2,10.15,7,0,0,20
11,4,0,3,13.66,8,0,0,20
12,6,0,2,19.6,9,0,0,20
13,3,0,2,8.59,10,0,0,20
14,5,0,0,5.41,11,0,0,20
15,5,0,1,9.95,12,0,0,20
16,5,0,2,15.88,13,0,0,20
17,6,0,3,21.62,14,0,0,20
18,5,0,3,18.37,15,0,0,20
19,5,0,4,22.16,16,0,0,20
20,4,0,4,17.56,17,0,0,20
