idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,2,0,0,13.83,0,13.83,1,0,20
2,6,0,0,22.3,2,222.3,2,1.0,20
3,6,0,1,12.82,2,212.82,3,1.0,20
4,4,0,0,8.98,1,108.98,4,0,20
5,5,0,0,7.2,1,107.2,5,0,20
6,5,0,1,9.87,3,309.87,6,0,20
7,4,0,1,19.31,1,119.31,7,0,20
8,5,0,2,12.49,3,312.49,8,0,20
9,3,0,0,7.15,1,107.15,9,0,20
10,2,0,1,5.57,1,105.57,10,0,20
11,1,0,0,8.74,0,8.74,11,0,20
12,1,0,1,16.97,0,16.97,12,0,20
13,2,0,2,6.91,1,106.91,13,0,20
14,4,0,2,12.88,2,212.88,14,0,20
15,3,0,1,17.09,1,117.09,15,0,20
16,1,0,2,20.88,0,20.88,16,0,20
17,5,0,3,16.04,3,316.04,17,0,20
18,4,0,3,14.36,3,314.36,18,0,20
19,3,0,2,15.28,2,215.28,19,0,20
20,3,0,3,8.3,3,308.3,20,0,20
21,2,0,3,11.58,1,111.58,21,0,20
22,1,0,3,9.6,1,109.6,22,0,20
23,2,0,4,7.37,3,307.37,23,0,20
