idx,seq,priority,emerg,weight,size(ft)
6,1,0,0,22.95,20
7,2,0,0,10.8,20
8,3,0,0,6.34,20
9,4,0,0,21.12,20
10,5,0,0,23.57,20
11,6,0,0,5.55,20
12,7,0,0,17.49,20
13,8,0,0,12.84,20
14,9,0,0,22.59,20
15,10,0,0,16.6,20
16,11,0,0,21.4,20
17,12,0,0,6.96,20
18,13,0,0,9.97,20
19,14,0,0,12.93,20
20,15,0,0,7.5,20
21,16,0,0,16.17,20
22,17,0,0,7.28,20
23,18,0,0,18.28,20
24,19,0,0,14.55,20
25,20,0,0,17.96,20
26,21,0,0,18.73,20
27,22,0,0,13.97,20
28,23,0,0,15.06,20
29,24,0,0,16.37,20
30,25,0,0,16.33,20
31,26,0,0,7.97,20
32,27,0,0,16.59,20
33,28,0,0,19.9,20
34,29,0,0,9.44,20
35,30,0,0,6.15,20
36,31,0,0,17.42,20
37,32,0,0,10.58,20
38,33,0,0,18.3,20
39,34,0,0,22.37,20
40,35,0,0,11.5,20
41,36,0,0,17.68,20
42,37,0,0,18.62,20
43,38,0,0,11.85,20
44,39,0,0,20.24,20
45,40,0,0,16.94,20
46,41,0,0,10.37,20
47,42,0,0,22.56,20
48,43,0,0,11.51,20
49,44,0,0,17.46,20
50,45,0,0,7.97,20
