idx,seq,priority,emerg,weight,size(ft)
6,1,0,0,8.96,20
7,2,0,0,19.53,20
8,3,0,0,16.73,20
9,4,0,0,16.63,20
10,5,0,0,13.63,20
11,6,0,0,8.11,20
12,7,0,0,23.89,20
13,8,0,0,22.29,20
14,9,0,0,5.05,20
15,10,0,0,11.51,20
16,11,0,0,10.43,20
17,12,0,0,23.55,20
18,13,0,0,13.82,20
19,14,0,0,7.33,20
20,15,0,0,16.45,20
21,16,0,0,15.15,20
22,17,0,0,13.86,20
23,18,0,0,7.4,20
24,19,0,0,5.92,20
25,20,0,0,11.9,20
26,21,0,0,23.48,20
27,22,0,0,15.32,20
28,23,0,0,5.55,20
29,24,0,0,18.51,20
30,25,0,0,11.48,20
31,26,0,0,6.01,20
32,27,0,0,19.43,20
33,28,0,0,15.72,20
34,29,0,0,12.34,20
35,30,0,0,7.56,20
36,31,0,0,7.36,20
37,32,0,0,21.72,20
38,33,0,0,13.19,20
39,34,0,0,18.35,20
40,35,0,0,17.53,20
41,36,0,0,9.29,20
42,37,0,0,11.58,20
43,38,0,0,7.28,20
44,39,0,0,16.45,20
45,40,0,0,5.84,20
46,41,0,0,5.67,20
47,42,0,0,10.62,20
48,43,0,0,17.89,20
49,44,0,0,5.67,20
50,45,0,0,11.32,20
