idx,seq,group,emerg,weight,size(ft)
6,1,0,0,7.4,20
7,2,0,0,7.34,20
8,3,0,0,10.99,20
9,4,0,0,21.77,20
10,5,0,0,17.09,20
11,6,0,0,14.22,20
12,7,0,0,18.33,20
13,8,0,0,18.83,20
14,9,0,0,16.14,20
15,10,0,0,8.88,20
16,11,0,0,14.3,20
17,12,0,0,5.48,20
18,13,0,0,12.27,20
19,14,0,0,11.22,20
20,15,0,0,6.47,20
21,16,0,0,7.46,20
22,17,0,0,11.44,20
23,18,0,0,10.53,20
24,19,0,0,19.22,20
25,20,0,0,16.27,20
26,21,0,0,6.32,20
27,22,0,0,15.66,20
28,23,0,0,9.23,20
29,24,0,0,20.36,20
30,25,0,0,18.3,20
31,26,0,0,14.83,20
32,27,0,0,15.0,20
33,28,0,0,6.04,20
34,29,0,0,7.24,20
35,30,0,0,7.69,20
36,31,0,0,12.6,20
37,32,0,0,22.2,20
38,33,0,0,9.41,20
39,34,0,0,9.66,20
40,35,0,0,14.5,20
41,36,0,0,19.65,20
42,37,0,0,22.08,20
43,38,0,0,8.73,20
44,39,0,0,15.14,20
45,40,0,0,21.16,20
46,41,0,0,16.51,20
47,42,0,0,19.51,20
48,43,0,0,8.28,20
49,44,0,0,11.27,20
50,45,0,0,8.17,20
