idx,seq,priority,emerg,weight,size(ft)
6,1,0,0,15.24,20
7,2,0,0,21.64,20
8,3,0,0,22.23,20
9,4,0,0,15.67,20
10,5,0,0,24.0,20
11,6,0,0,19.62,20
12,7,0,0,10.65,20
13,8,0,0,12.55,20
14,9,0,0,15.95,20
15,10,0,0,22.42,20
16,11,0,0,20.32,20
17,12,0,0,6.28,20
18,13,0,0,16.43,20
19,14,0,0,11.73,20
20,15,0,0,5.71,20
21,16,0,0,10.85,20
22,17,0,0,11.95,20
23,18,0,0,16.25,20
24,19,0,0,22.22,20
25,20,0,0,8.33,20
26,21,0,0,9.48,20
27,22,0,0,20.11,20
28,23,0,0,15.24,20
29,24,0,0,10.97,20
30,25,0,0,14.35,20
31,26,0,0,22.33,20
32,27,0,0,17.85,20
33,28,0,0,12.91,20
34,29,0,0,9.1,20
35,30,0,0,21.54,20
36,31,0,0,18.7,20
37,32,0,0,16.88,20
38,33,0,0,22.12,20
39,34,0,0,9.17,20
40,35,0,0,16.92,20
41,36,0,0,11.47,20
42,37,0,0,7.38,20
43,38,0,0,5.74,20
44,39,0,0,5.71,20
45,40,0,0,18.25,20
46,41,0,0,7.65,20
47,42,0,0,14.69,20
48,43,0,0,12.82,20
49,44,0,0,5.82,20
50,45,0,0,14.88,20
