idx,seq,priority,emerg,weight,size(ft)
6,1,0,0,19.55,20
7,2,0,0,8.48,20
8,3,0,0,12.93,20
9,4,0,0,13.68,20
10,5,0,0,13.2,20
11,6,0,0,17.64,20
12,7,0,0,13.52,20
13,8,0,0,23.04,20
14,9,0,0,7.11,20
15,10,0,0,5.22,20
16,11,0,0,11.15,20
17,12,0,0,23.41,20
18,13,0,0,9.41,20
19,14,0,0,23.76,20
20,15,0,0,21.94,20
21,16,0,0,16.39,20
22,17,0,0,14.42,20
23,18,0,0,19.17,20
24,19,0,0,14.4,20
25,20,0,0,15.76,20
26,21,0,0,23.35,20
27,22,0,0,22.47,20
28,23,0,0,13.49,20
29,24,0,0,15.36,20
30,25,0,0,18.4,20
31,26,0,0,18.87,20
32,27,0,0,9.14,20
33,28,0,0,21.85,20
34,29,0,0,9.42,20
35,30,0,0,21.7,20
36,31,0,0,19.96,20
37,32,0,0,15.57,20
38,33,0,0,17.09,20
39,34,0,0,18.38,20
40,35,0,0,22.55,20
41,36,0,0,14.8,20
42,37,0,0,15.43,20
43,38,0,0,21.39,20
44,39,0,0,10.87,20
45,40,0,0,21.18,20
46,41,0,0,12.82,20
47,42,0,0,20.89,20
48,43,0,0,7.12,20
49,44,0,0,6.34,20
50,45,0,0,13.09,20
