idx,seq,group,emerg,weight,size(ft)
6,1,0,0,6.49,20
7,2,0,0,23.31,20
8,3,0,0,22.33,20
9,4,0,0,17.95,20
10,5,0,0,7.44,20
11,6,0,0,9.6,20
12,7,0,0,23.13,20
13,8,0,0,18.59,20
14,9,0,0,23.95,20
15,10,0,0,6.34,20
16,11,0,0,5.84,20
17,12,0,0,9.69,20
18,13,0,0,22.8,20
19,14,0,0,14.97,20
20,15,0,0,8.79,20
21,16,0,0,18.0,20
22,17,0,0,7.65,20
23,18,0,0,16.94,20
24,19,0,0,22.02,20
25,20,0,0,13.95,20
26,21,0,0,10.06,20
27,22,0,0,15.12,20
28,23,0,0,5.16,20
29,24,0,0,11.72,20
30,25,0,0,16.34,20
31,26,0,0,13.03,20
32,27,0,0,14.85,20
33,28,0,0,6.9,20
34,29,0,0,9.68,20
35,30,0,0,9.3,20
36,31,0,0,6.51,20
37,32,0,0,23.2,20
38,33,0,0,5.57,20
39,34,0,0,11.14,20
40,35,0,0,5.46,20
41,36,0,0,12.32,20
42,37,0,0,20.16,20
43,38,0,0,8.5,20
44,39,0,0,11.03,20
45,40,0,0,17.67,20
46,41,0,0,9.43,20
47,42,0,0,14.73,20
48,43,0,0,22.82,20
49,44,0,0,13.11,20
50,45,0,0,15.67,20
