idx,seq,group,emerg,weight,size(ft)
6,1,0,0,13.35,20
7,2,0,0,13.49,20
8,3,0,0,14.37,20
9,4,0,0,23.93,20
10,5,0,0,18.92,20
11,6,0,0,5.46,20
12,7,0,0,15.02,20
13,8,0,0,10.71,20
14,9,0,0,15.05,20
15,10,0,0,14.76,20
16,11,0,0,12.06,20
17,12,0,0,8.51,20
18,13,0,0,14.42,20
19,14,0,0,19.02,20
20,15,0,0,9.78,20
21,16,0,0,17.94,20
22,17,0,0,16.79,20
23,18,0,0,12.04,20
24,19,0,0,6.42,20
25,20,0,0,14.57,20
26,21,0,0,12.06,20
27,22,0,0,15.85,20
28,23,0,0,6.9,20
29,24,0,0,22.4,20
30,25,0,0,18.19,20
31,26,0,0,5.9,20
32,27,0,0,8.75,20
33,28,0,0,9.89,20
34,29,0,0,9.39,20
35,30,0,0,18.64,20
36,31,0,0,10.95,20
37,32,0,0,14.9,20
38,33,0,0,9.18,20
39,34,0,0,14.36,20
40,35,0,0,9.44,20
41,36,0,0,22.91,20
42,37,0,0,5.21,20
43,38,0,0,5.71,20
44,39,0,0,10.1,20
45,40,0,0,16.82,20
46,41,0,0,11.03,20
47,42,0,0,15.64,20
48,43,0,0,9.78,20
49,44,0,0,12.87,20
50,45,0,0,8.17,20
