idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,6,0,0,9.04,0,9.04,0,0,20
2,1,0,0,21.37,3,321.37,0,0,20
3,6,0,1,14.93,2,214.93,0,0,20
4,6,0,2,8.44,3,308.44,1,0,20
5,3,0,0,6.07,0,6.07,2,0,20
6,4,0,0,12.35,2,212.35,3,0,20
7,4,0,1,20.18,2,220.18,4,0,20
8,4,0,2,23.67,2,223.67000000000002,5,0,20
9,3,0,1,11.61,0,11.61,6,0,20
10,2,0,0,6.0,0,6.0,7,0,20
11,3,0,2,13.67,1,113.67,8,0,20
12,5,0,0,23.54,0,23.54,9,1.0,20
13,2,0,1,10.27,0,10.27,10,0,20
14,3,0,3,19.48,1,119.48,11,0,20
15,3,0,4,11.18,3,311.18,12,0,20
16,5,0,1,15.57,0,15.57,13,1.0,20
17,4,0,3,14.28,3,314.28,14,0,20
18,4,0,4,16.6,3,316.6,15,0,20
19,5,0,2,5.07,0,5.07,16,1.0,20
20,2,0,2,14.71,0,14.71,17,0,20
