idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,10,0,0,15.44,0,15.44,1,0,0,20
2,3,0,0,14.12,0,14.12,2,0,0,20
3,6,0,0,23.6,0,23.6,3,0,0,20
4,6,0,1,23.79,0,23.79,4,0,0,20
5,5,0,0,18.5,0,18.5,5,0,0,20
6,5,0,1,18.98,0,18.98,6,0,0,20
7,7,0,0,14.13,0,14.13,7,0,0,20
8,5,0,2,19.56,0,19.56,8,0,0,20
9,10,0,1,22.99,0,22.99,9,0,0,20
10,2,0,0,9.13,0,9.13,10,0,0,20
11,4,0,0,5.38,0,5.38,11,0,0,20
12,7,0,1,21.14,0,21.14,12,0,0,20
13,4,0,1,9.71,0,9.71,13,0,0,20
14,2,0,1,12.97,0,12.97,14,0,0,20
15,1,0,0,6.73,0,6.73,15,0,0,20
16,9,0,0,8.8,0,8.8,16,0,0,20
17,1,0,1,8.08,0,8.08,17,0,0,20
18,1,0,2,9.76,0,9.76,18,0,0,20
19,9,0,1,18.32,0,18.32,19,0,0,20
20,2,0,2,13.14,0,13.14,20,0,0,20
