idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,5,0,0,20.19,0,0,0,20
2,3,0,0,7.2,0,0,0,20
3,2,0,0,17.2,0,0,0,20
4,3,0,1,13.21,0,0,0,20
5,4,0,0,8.17,0,0,0,20
6,3,0,2,17.17,1,0,1.0,20
7,6,0,0,14.55,2,0,1.0,20
8,6,0,1,11.15,3,0,1.0,20
9,6,0,2,12.16,4,0,1.0,20
10,1,0,0,6.42,5,0,0,20
11,3,0,3,15.21,6,0,1.0,20
12,2,0,1,18.5,7,0,0,20
13,4,0,1,15.47,8,0,1.0,20
14,4,0,2,12.3,9,0,1.0,20
15,5,0,1,21.9,10,0,0,20
16,1,0,1,7.05,11,0,0,20
17,1,0,2,10.59,12,0,1.0,20
18,6,0,3,12.88,13,0,1.0,20
19,1,0,3,7.98,14,0,1.0,20
20,4,0,3,12.43,15,0,1.0,20
