idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,2,0,0,16.05,0,16.05,0,0,20
2,6,0,0,23.11,0,23.11,0,1.0,20
3,5,0,0,11.16,0,11.16,0,0,20
4,6,0,1,19.45,0,19.45,0,1.0,20
5,6,0,2,23.16,0,23.16,0,1.0,20
6,3,0,0,22.33,0,22.33,0,1.0,20
7,5,0,1,22.84,0,22.84,0,0,20
8,4,0,0,11.73,0,11.73,1,0,20
9,1,0,0,7.97,0,7.97,2,0,20
10,6,0,3,14.0,0,14.0,3,1.0,20
11,2,0,1,21.9,0,21.9,4,0,20
12,1,0,1,8.48,0,8.48,5,0,20
13,4,0,1,12.06,0,12.06,6,0,20
14,4,0,2,12.51,0,12.51,7,0,20
15,4,0,3,20.82,0,20.82,8,0,20
16,1,0,2,12.02,0,12.02,9,0,20
17,3,0,1,11.39,0,11.39,10,1.0,20
18,1,0,3,15.02,0,15.02,11,0,20
19,3,0,2,11.54,0,11.54,12,1.0,20
20,3,0,3,8.08,0,8.08,13,1.0,20
