idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,6,0,0,14.0,1,114.0,1,0,20
2,6,0,1,5.11,3,305.11,2,0,20
3,1,0,0,17.38,0,17.38,3,0,20
4,3,0,0,9.51,0,9.51,4,0,20
5,2,0,0,7.52,3,307.52,5,0,20
6,6,0,2,8.37,3,308.37,6,0,20
7,1,0,1,18.66,0,18.66,7,0,20
8,1,0,2,5.78,3,305.78,8,0,20
9,5,0,0,6.4,0,6.4,9,0,20
10,5,0,1,15.84,0,15.84,10,0,20
11,5,0,2,16.28,1,116.28,11,0,20
12,3,0,1,21.94,3,321.94,12,0,20
13,5,0,3,18.93,1,118.93,13,0,20
14,4,0,0,5.17,0,5.17,14,0,20
15,4,0,1,16.81,3,316.81,15,0,20
