idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,6,0,0,21.51,1,121.51,1,0,20
2,2,0,0,17.27,3,317.27,2,1.0,20
3,4,0,0,17.73,0,17.73,3,0,20
4,2,0,1,12.21,3,312.21,4,1.0,20
5,6,0,1,21.65,2,221.65,5,0,20
6,4,0,1,17.23,1,117.23,6,0,20
7,5,0,0,13.47,0,13.47,7,0,20
8,3,0,0,9.99,0,9.99,8,0,20
9,5,0,1,21.57,0,21.57,9,0,20
10,6,0,2,12.02,3,312.02,10,0,20
11,4,0,2,16.42,2,216.42000000000002,11,0,20
12,5,0,2,8.3,1,108.3,12,0,20
13,3,0,1,10.49,0,10.49,13,0,20
14,4,0,3,9.96,3,309.96,14,0,20
15,3,0,2,17.67,0,17.67,15,0,20
16,2,0,2,20.75,2,220.75,16,1.0,20
17,5,0,3,9.38,2,209.38,17,0,20
18,3,0,3,23.06,0,23.06,18,0,20
19,5,0,4,19.46,2,219.46,19,0,20
20,1,0,0,15.61,0,15.61,20,1.0,20
21,1,0,1,15.05,0,15.05,21,1.0,20
22,3,0,4,20.11,1,120.11,22,0,20
23,1,0,2,6.63,0,6.63,23,1.0,20
