idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,4,0,0,8.69,0,8.69,1,0,0,20
2,4,0,1,14.9,0,14.9,2,0,0,20
3,2,0,0,5.94,0,5.94,3,0,0,20
4,4,0,2,18.83,0,18.83,4,0,0,20
5,4,0,3,23.16,0,23.16,5,0,0,20
6,1,0,0,13.78,0,13.78,6,0,0,20
7,1,0,1,15.98,0,15.98,7,0,0,20
8,8,0,0,17.86,0,17.86,8,0,0,20
9,7,0,0,11.33,0,11.33,9,0,0,20
10,10,0,0,23.48,0,23.48,10,0,0,20
11,3,0,0,10.44,0,10.44,11,0,0,20
12,3,0,1,10.94,0,10.94,12,0,0,20
13,8,0,1,22.7,0,22.7,13,0,0,20
14,9,0,0,6.82,0,6.82,14,0,0,20
15,7,0,1,11.37,0,11.37,15,0,0,20
16,1,0,2,17.16,0,17.16,16,0,0,20
17,3,0,2,14.08,0,14.08,17,0,0,20
18,6,0,0,10.25,0,10.25,18,0,0,20
19,3,0,3,14.66,0,14.66,19,0,0,20
20,1,0,3,21.54,0,21.54,20,0,0,20
21,9,0,1,9.74,0,9.74,21,0,0,20
22,5,0,0,6.65,0,6.65,22,0,0,20
23,1,0,4,21.98,0,21.98,23,0,0,20
24,9,0,2,18.18,0,18.18,24,0,0,20
25,5,0,1,6.99,0,6.99,25,0,0,20
26,7,0,2,13.22,0,13.22,26,0,0,20
27,2,0,1,6.47,0,6.47,27,0,0,20
28,5,0,2,9.65,0,9.65,28,0,0,20
29,2,0,2,22.14,0,22.14,29,0,0,20
30,3,0,4,18.21,0,18.21,30,0,0,20
