idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,0,10.38,1,110.38,1,0,20
2,1,0,0,11.56,0,11.56,2,1.0,20
3,4,0,1,22.17,2,222.17000000000002,3,1.0,20
4,1,0,1,17.61,0,17.61,4,1.0,20
5,3,0,0,15.56,1,115.56,5,1.0,20
6,3,0,1,8.25,1,108.25,6,1.0,20
7,4,0,2,17.88,2,217.88,7,1.0,20
8,5,0,0,10.64,1,110.64,8,0,20
9,1,0,2,10.1,0,10.1,9,1.0,20
10,4,0,3,9.7,3,309.7,10,1.0,20
11,4,0,4,9.62,3,309.62,11,1.0,20
12,5,0,1,18.8,3,318.8,12,1.0,20
13,2,0,0,8.67,0,8.67,13,1.0,20
14,3,0,2,11.57,1,111.57,14,1.0,20
15,3,0,3,9.47,1,109.47,15,1.0,20
16,2,0,1,6.92,0,6.92,16,1.0,20
17,2,0,2,15.54,1,115.53999999999999,17,1.0,20
18,3,0,4,14.51,1,114.51,18,1.0,20
19,2,0,3,18.5,0,18.5,19,1.0,20
20,6,0,0,19.14,2,219.14,20,0,20
21,2,0,4,11.59,1,111.59,21,1.0,20
22,5,0,2,14.35,3,314.35,22,1.0,20
23,1,0,3,14.21,0,14.21,23,1.0,20
