Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Seq, Emerg, Reloc, Size(ft)
1, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1493.972778, -0.010405, 113.009590, 0.031595, 0.000004, -0.008490, 20.080000, 0, 0, 1.000000, 1
2, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 995.917358, -0.017933, 112.875305, 0.066546, 0.000003, -0.011672, 21.969999, 0, 0, 1.000000, 1
3, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 995.501160, -0.099820, 338.798431, 0.170291, -0.000025, -0.031452, 18.510000, 0, 0, 1.000000, 1
4, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 746.928650, -0.016921, 112.711739, -0.024027, -0.000634, -0.012264, 12.590000, 0, 0, 1.000000, 1
5, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 994.668335, -0.259958, 564.761108, 0.265721, -0.000086, -0.050060, 17.969999, 0, 0, 1.000000, 1
6, 996.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 993.417969, -0.501279, 790.622620, 0.383602, -0.000207, -0.072257, 9.980000, 0, 0, 1.000000, 1
7, 996.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 991.782166, -0.811433, 1016.756104, 0.436679, -0.000254, -0.083941, 22.400000, 0, 0, 1.000000, 1
8, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1493.797241, -0.060171, 339.152344, 0.069485, -0.000017, -0.016812, 20.200001, 0, 0, 1.000000, 1
9, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 251.442337, -0.103021, 114.052368, -1.098354, 0.010800, -0.009166, 7.530000, 0, 0, 1.000000, 1
10, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1244.927612, -0.015855, 112.891815, 0.059963, -0.000001, -0.011074, 22.370001, 0, 0, 1.000000, 1
11, 1494.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1493.480713, -0.135487, 565.343018, 0.083255, -0.000028, -0.020213, 16.230000, 0, 0, 1.000000, 1
12, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1244.554688, -0.092148, 338.844818, 0.159341, -0.000030, -0.030305, 18.690001, 0, 0, 1.000000, 1
13, 1245.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1243.798462, -0.241907, 564.899414, 0.235698, -0.000077, -0.045733, 21.709999, 0, 0, 1.000000, 1
14, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 746.840637, -0.095213, 338.512177, 0.037153, -0.001209, -0.029585, 14.110000, 0, 0, 1.000000, 1
15, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 256.575012, -0.277996, 339.825195, -1.296010, 0.067868, -0.044048, 7.370000, 0, 0, 1.000000, 1
16, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 261.440887, -0.365525, 565.802551, -1.193316, 0.060624, -0.004458, 15.500000, 0, 0, 1.000000, 1
17, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 497.882568, -0.022079, 112.904587, -0.019707, 0.017680, -0.011516, 7.300000, 0, 0, 1.000000, 1
18, 249.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 266.253418, -0.336285, 791.907166, -1.164300, 0.065034, 0.013892, 9.340000, 0, 0, 1.000000, 1
19, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 746.532776, -0.244179, 564.336243, 0.093129, -0.001637, -0.046839, 12.130000, 0, 0, 1.000000, 1
20, 747.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 746.038879, -0.455446, 790.330383, 0.156222, -0.001855, -0.059523, 14.980000, 0, 0, 1.000000, 1
21, 747.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 745.658752, -0.723370, 1016.486328, 0.138206, -0.002061, -0.075565, 12.590000, 0, 0, 1.000000, 1
22, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 497.880890, -0.167876, 338.840454, 0.002573, 0.044770, -0.027267, 5.540000, 0, 0, 1.000000, 1
23, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 497.811310, -0.280339, 564.866882, 0.036858, 0.044499, -0.039468, 6.060000, 0, 0, 1.000000, 1
24, 1245.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1242.791260, -0.437487, 791.070068, 0.265236, -0.000096, -0.052544, 22.299999, 0, 0, 1.000000, 1
25, 498.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 497.637878, -0.507137, 791.013000, 0.053238, 0.064803, -0.046245, 5.770000, 0, 0, 1.000000, 1
