Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Seq, Emerg, Reloc, Size(ft)
1, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 498.777557, -0.332385, 564.404785, -0.274799, 0.023773, -0.073277, 20.559999, 0, 0, 1.000000, 1
2, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 497.956604, -0.020547, 112.711823, -0.093266, 0.007065, -0.017634, 20.920000, 0, 0, 0.000000, 0
3, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 498.147156, -0.119825, 338.414185, -0.109101, 0.015438, -0.038295, 19.660000, 0, 0, 0.000000, 0
4, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 746.620300, -0.077212, 112.042679, 0.341978, -0.000205, -0.046600, 6.470000, 0, 0, 1.000000, 1
5, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 744.796692, -0.371851, 337.530640, 0.633855, -0.000547, -0.104793, 12.030000, 0, 0, 1.000000, 1
6, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 995.868958, -0.028460, 112.612968, 0.075099, 0.000008, -0.017922, 10.720000, 0, 0, 0.000000, 0
7, 498.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 499.742340, -0.659119, 790.318542, -0.249485, 0.036917, -0.086675, 20.780001, 0, 0, 0.000000, 0
8, 498.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 500.797852, -1.005507, 1016.421936, -0.213939, 0.028581, -0.091905, 23.129999, 0, 0, 0.000000, 0
9, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 742.002869, -0.848142, 563.335754, 0.788229, -0.000792, -0.136064, 19.440001, 0, 0, 0.000000, 0
10, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 995.316162, -0.152857, 338.304596, 0.226895, -0.000080, -0.047565, 11.880000, 0, 0, 0.000000, 0
11, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1244.961670, -0.014734, 112.914185, 0.039828, -0.000006, -0.011936, 13.620000, 0, 0, 0.000000, 0
12, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1244.722656, -0.084860, 339.003510, 0.101273, -0.000046, -0.024163, 17.660000, 0, 0, 0.000000, 0
13, 747.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 738.704224, -1.421062, 789.295593, 0.878159, -0.000970, -0.153658, 21.549999, 0, 0, 0.000000, 0
14, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 251.952148, -0.070803, 113.755020, -1.200343, -0.006059, 0.016623, 5.500000, 0, 0, 0.000000, 0
15, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 994.193298, -0.388750, 564.127014, 0.357062, -0.000217, -0.072849, 14.070000, 0, 0, 0.000000, 0
16, 747.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 734.835754, -2.159982, 1015.412109, 0.924654, 0.057484, -0.161858, 21.990000, 0, 0, 0.000000, 0
17, 996.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 992.612610, -0.712349, 790.093689, 0.449694, -0.000342, -0.090809, 15.730000, 0, 0, 0.000000, 0
18, 1245.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1244.270874, -0.191532, 565.185425, 0.121112, -0.000058, -0.028885, 18.709999, 0, 0, 0.000000, 0
19, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 256.862915, 0.153240, 339.302460, -1.141844, -0.019938, 0.102420, 6.040000, 0, 0, 0.000000, 0
20, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1493.967651, -0.008395, 113.091034, 0.030914, 0.000001, -0.004948, 12.480000, 0, 0, 0.000000, 0
21, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1493.826416, -0.031882, 339.295013, 0.030929, 0.000017, -0.006205, 14.080000, 0, 0, 0.000000, 0
22, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 261.571014, 0.606428, 565.037415, -1.118511, -0.019956, 0.129506, 10.100000, 0, 0, 0.000000, 0
23, 249.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 266.526459, 1.203868, 790.819702, -1.045000, 0.011731, 0.142477, 8.350000, 0, 0, 0.000000, 0
24, 996.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 990.742310, -1.089319, 1016.238220, 0.494088, -0.000413, -0.099657, 18.340000, 0, 0, 0.000000, 0
25, 249.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 270.227417, 1.770533, 1017.005005, -0.997970, 0.027585, 0.133049, 9.980000, 0, 0, 0.000000, 0
