idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,1,0,0,20.63,0,0,1.0,20
2,4,0,0,11.65,0,0,1.0,20
3,4,0,1,12.63,0,0,1.0,20
4,2,0,0,16.26,0,0,1.0,20
5,4,0,2,18.73,0,0,1.0,20
6,4,0,3,17.92,0,0,1.0,20
7,1,0,1,11.2,0,0,1.0,20
8,5,0,0,23.91,0,0,1.0,20
9,3,0,0,6.47,0,0,0,20
10,5,0,1,21.99,0,0,1.0,20
11,3,0,1,13.25,1,0,1.0,20
12,2,0,1,9.24,2,0,1.0,20
13,2,0,2,10.25,3,0,1.0,20
14,3,0,2,13.03,4,0,1.0,20
15,3,0,3,17.01,5,0,1.0,20
16,3,0,4,14.76,6,0,1.0,20
17,2,0,3,8.22,7,0,1.0,20
18,2,0,4,13.43,8,0,0.9999999999999818,20
19,1,0,2,8.29,9,0,1.0,20
20,1,0,3,5.15,10,0,1.0,20
