idx,seq,group,emerg,weight,size(ft)
6,1,0,0,18.16,20
7,2,0,0,21.71,20
8,3,0,0,18.89,20
9,4,0,0,20.37,20
10,5,0,0,15.35,20
11,6,0,0,5.78,20
12,7,0,0,18.8,20
13,8,0,0,8.66,20
14,9,0,0,6.69,20
15,10,0,0,14.32,20
16,11,0,0,10.32,20
17,12,0,0,21.15,20
18,13,0,0,6.95,20
19,14,0,0,13.92,20
20,15,0,0,17.83,20
21,16,0,0,5.73,20
22,17,0,0,17.91,20
23,18,0,0,11.88,20
24,19,0,0,17.65,20
25,20,0,0,13.33,20
26,21,0,0,10.59,20
27,22,0,0,21.09,20
28,23,0,0,23.74,20
29,24,0,0,16.3,20
30,25,0,0,5.83,20
31,26,0,0,5.73,20
32,27,0,0,11.66,20
33,28,0,0,14.67,20
34,29,0,0,20.46,20
35,30,0,0,23.96,20
36,31,0,0,17.95,20
37,32,0,0,17.87,20
38,33,0,0,12.33,20
39,34,0,0,14.96,20
40,35,0,0,20.65,20
