idx,seq,group,emerg,weight,size(ft)
6,1,0,0,9.48,20
7,2,0,0,18.87,20
8,3,0,0,5.71,20
9,4,0,0,12.46,20
10,5,0,0,7.6,20
11,6,0,0,10.44,20
12,7,0,0,23.34,20
13,8,0,0,10.19,20
14,9,0,0,23.94,20
15,10,0,0,12.08,20
16,11,0,0,21.61,20
17,12,0,0,7.74,20
18,13,0,0,5.51,20
19,14,0,0,22.48,20
20,15,0,0,19.53,20
21,16,0,0,12.52,20
22,17,0,0,18.27,20
23,18,0,0,15.21,20
24,19,0,0,20.81,20
25,20,0,0,13.02,20
26,21,0,0,14.23,20
27,22,0,0,17.57,20
28,23,0,0,8.54,20
29,24,0,0,9.17,20
30,25,0,0,6.64,20
31,26,0,0,5.02,20
32,27,0,0,14.18,20
33,28,0,0,11.97,20
34,29,0,0,7.19,20
35,30,0,0,15.64,20
36,31,0,0,10.49,20
37,32,0,0,23.47,20
38,33,0,0,7.37,20
39,34,0,0,5.16,20
40,35,0,0,17.27,20
