idx,seq,group,emerg,weight,size(ft)
6,1,0,0,14.09,20
7,2,0,0,8.9,20
8,3,0,0,19.98,20
9,4,0,0,18.07,20
10,5,0,0,5.87,20
11,6,0,0,23.45,20
12,7,0,0,6.15,20
13,8,0,0,5.48,20
14,9,0,0,9.78,20
15,10,0,0,6.03,20
16,11,0,0,8.22,20
17,12,0,0,11.53,20
18,13,0,0,17.76,20
19,14,0,0,12.63,20
20,15,0,0,21.71,20
21,16,0,0,21.31,20
22,17,0,0,15.87,20
23,18,0,0,17.21,20
24,19,0,0,19.17,20
25,20,0,0,7.52,20
26,21,0,0,6.82,20
27,22,0,0,13.74,20
28,23,0,0,19.02,20
29,24,0,0,21.21,20
30,25,0,0,7.18,20
31,26,0,0,15.69,20
32,27,0,0,8.9,20
33,28,0,0,13.9,20
34,29,0,0,17.09,20
35,30,0,0,10.17,20
36,31,0,0,16.89,20
37,32,0,0,9.94,20
38,33,0,0,17.46,20
39,34,0,0,22.43,20
40,35,0,0,12.97,20
