idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,2,0,0,20.66,0,20.66,0,0,20
2,5,0,0,17.61,0,17.61,0,0,20
3,3,0,0,10.72,0,10.72,0,0,20
4,4,0,0,12.56,0,12.56,1,0,20
5,4,0,1,15.54,0,15.54,2,0,20
6,2,0,1,22.92,0,22.92,3,0,20
7,2,0,2,23.89,0,23.89,4,0,20
8,4,0,2,19.81,0,19.81,5,0,20
9,5,0,1,17.71,0,17.71,6,0,20
10,3,0,1,16.08,0,16.08,7,0,20
11,3,0,2,16.54,0,16.54,8,0,20
12,4,0,3,22.25,0,22.25,9,1.0,20
13,1,0,0,10.23,0,10.23,10,0,20
14,5,0,2,21.65,0,21.65,11,0,20
15,4,0,4,21.35,0,21.35,12,1.0,20
16,3,0,3,17.18,0,17.18,13,0,20
17,1,0,1,10.71,0,10.71,14,0,20
18,6,0,0,5.56,0,5.56,15,0,20
19,3,0,4,21.37,0,21.37,16,0,20
20,6,0,1,14.21,0,14.21,17,0,20
21,5,0,3,22.28,0,22.28,18,0,20
22,6,0,2,22.16,0,22.16,19,0,20
23,1,0,2,14.04,0,14.04,20,0,20
