idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,3,0,0,10.95,0,10.95,0,0,20
2,3,0,1,14.18,0,14.18,0,0,20
3,3,0,2,22.18,0,22.18,0,0,20
4,5,0,0,11.2,0,11.2,1,0,20
5,3,0,3,23.48,0,23.48,2,0,20
6,5,0,1,16.5,0,16.5,3,0,20
7,6,0,0,21.92,0,21.92,4,1.0,20
8,4,0,0,14.1,0,14.1,5,0,20
9,1,0,0,6.06,0,6.06,6,0,20
10,2,0,0,5.5,0,5.5,7,0,20
11,2,0,1,7.76,0,7.76,8,0,20
12,5,0,2,17.6,0,17.6,9,0,20
13,1,0,1,6.58,0,6.58,10,0,20
14,5,0,3,21.66,0,21.66,11,0,20
15,6,0,1,21.16,0,21.16,12,1.0,20
16,4,0,1,14.59,0,14.59,13,0,20
17,4,0,2,14.74,0,14.74,14,0,20
18,4,0,3,18.83,0,18.83,15,0,20
19,2,0,2,14.42,0,14.42,16,0,20
20,6,0,2,12.91,0,12.91,17,1.0,20
21,2,0,3,14.65,0,14.65,18,0,20
22,1,0,2,8.23,0,8.23,19,0,20
23,1,0,3,12.3,0,12.3,20,0,20
