idx,seq,group,emerg,weight,size(ft)
1,1,0,0,22.3,20
2,2,0,0,9.48,20
3,3,0,0,17.93,20
4,4,0,0,14.84,20
5,5,0,0,22.81,20
6,6,0,0,19.48,20
7,7,0,0,9.07,20
8,8,0,0,12.88,20
9,9,0,0,12.03,20
10,10,0,0,19.68,20
11,11,0,0,7.61,20
12,12,0,0,16.84,20
13,13,0,0,20.7,20
14,14,0,0,23.71,20
15,15,0,0,20.56,20
16,16,0,0,6.04,20
17,17,0,0,16.68,20
18,18,0,0,16.44,20
19,19,0,0,9.33,20
20,20,0,0,17.93,20
21,21,0,0,10.13,20
22,22,0,0,18.37,20
23,23,0,0,16.69,20
24,24,0,0,13.02,20
25,25,0,0,20.5,20
26,26,0,0,21.3,20
27,27,0,0,22.36,20
28,28,0,0,8.43,20
29,29,0,0,16.56,20
30,30,0,0,12.82,20
