idx,seq,group,emerg,weight,size(ft)
1,1,0,0,20.27,20
2,2,0,0,6.93,20
3,3,0,0,21.53,20
4,4,0,0,12.23,20
5,5,0,0,18.88,20
6,6,0,0,8.06,20
7,7,0,0,15.75,20
8,8,0,0,19.04,20
9,9,0,0,7.99,20
10,10,0,0,22.76,20
11,11,0,0,16.31,20
12,12,0,0,23.17,20
13,13,0,0,6.35,20
14,14,0,0,14.05,20
15,15,0,0,13.82,20
16,16,0,0,14.31,20
17,17,0,0,23.15,20
18,18,0,0,13.04,20
19,19,0,0,8.97,20
20,20,0,0,8.45,20
21,21,0,0,15.79,20
22,22,0,0,20.15,20
23,23,0,0,10.69,20
24,24,0,0,13.14,20
25,25,0,0,9.13,20
26,26,0,0,21.0,20
27,27,0,0,7.74,20
28,28,0,0,22.72,20
29,29,0,0,21.11,20
30,30,0,0,14.6,20
