idx,seq,group,emerg,weight,size(ft)
1,1,0,0,6.35,20
2,2,0,0,17.44,20
3,3,0,0,13.06,20
4,4,0,0,13.93,20
5,5,0,0,20.19,20
6,6,0,0,21.85,20
7,7,0,0,21.99,20
8,8,0,0,23.97,20
9,9,0,0,11.84,20
10,10,0,0,22.83,20
11,11,0,0,8.72,20
12,12,0,0,19.27,20
13,13,0,0,9.17,20
14,14,0,0,23.81,20
15,15,0,0,8.22,20
16,16,0,0,16.67,20
17,17,0,0,12.38,20
18,18,0,0,15.64,20
19,19,0,0,9.02,20
20,20,0,0,7.43,20
21,21,0,0,22.97,20
22,22,0,0,13.69,20
23,23,0,0,15.18,20
24,24,0,0,6.06,20
25,25,0,0,6.75,20
26,26,0,0,12.05,20
27,27,0,0,23.66,20
28,28,0,0,12.31,20
29,29,0,0,14.38,20
30,30,0,0,9.9,20
