idx,seq,group,emerg,weight,size(ft)
1,1,0,0,15.88,20
2,2,0,0,5.73,20
3,3,0,0,21.59,20
4,4,0,0,20.69,20
5,5,0,0,21.13,20
6,6,0,0,17.43,20
7,7,0,0,10.04,20
8,8,0,0,18.9,20
9,9,0,0,9.17,20
10,10,0,0,14.32,20
11,11,0,0,16.45,20
12,12,0,0,7.34,20
13,13,0,0,11.37,20
14,14,0,0,8.51,20
15,15,0,0,23.2,20
16,16,0,0,12.47,20
17,17,0,0,14.25,20
18,18,0,0,17.63,20
19,19,0,0,12.17,20
20,20,0,0,19.48,20
21,21,0,0,6.12,20
22,22,0,0,8.83,20
23,23,0,0,6.57,20
24,24,0,0,12.49,20
25,25,0,0,5.45,20
26,26,0,0,16.59,20
27,27,0,0,14.32,20
28,28,0,0,10.48,20
29,29,0,0,5.24,20
30,30,0,0,17.09,20
