idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,6,0,0,6.2,0,0,0,20
2,5,0,0,13.16,0,0,0,20
3,4,0,0,17.88,0,0,0,20
4,1,0,0,19.15,1,0,0,20
5,5,0,1,20.75,2,0,0,20
6,1,0,1,19.45,3,0,0,20
7,2,0,0,5.1,4,0,0,20
8,6,0,1,17.98,5,0,0,20
9,3,0,0,7.22,6,0,0,20
10,2,0,1,9.03,7,0,0,20
11,6,0,2,17.89,8,0,0,20
12,3,0,1,7.73,9,0,0,20
13,3,0,2,16.98,10,0,0,20
14,4,0,1,19.13,11,0,0,20
15,3,0,3,18.78,12,0,0,20
16,2,0,2,12.49,13,0,0,20
17,3,0,4,19.53,14,0,0,20
18,2,0,3,21.2,15,0,0,20
19,4,0,2,20.89,16,0,0,20
20,1,0,2,22.92,17,0,0,20
