idx,seq,group,emerg,weight,size(ft)
1,1,0,0,20.05,20
2,2,0,0,5.52,20
3,3,0,0,8.15,20
4,4,0,0,16.82,20
5,5,0,0,5.72,20
6,6,0,0,6.26,20
7,7,0,0,14.0,20
8,8,0,0,18.88,20
9,9,0,0,6.66,20
10,10,0,0,22.37,20
11,11,0,0,13.07,20
12,12,0,0,5.19,20
13,13,0,0,13.41,20
14,14,0,0,6.77,20
15,15,0,0,20.43,20
16,16,0,0,14.93,20
17,17,0,0,18.33,20
18,18,0,0,11.36,20
19,19,0,0,8.0,20
20,20,0,0,7.18,20
21,21,0,0,18.92,20
22,22,0,0,16.87,20
23,23,0,0,22.0,20
24,24,0,0,13.36,20
25,25,0,0,17.62,20
26,26,0,0,8.32,20
27,27,0,0,10.34,20
28,28,0,0,19.21,20
29,29,0,0,21.98,20
30,30,0,0,7.56,20
